name,glon,glat,ra,dec,nband,flux1,flux2,flux3,flux4,flux5,flux6,flux7,flux_err1,flux_err2,flux_err3,flux_err4,flux_err5,flux_err6,flux_err7,ercsc_name,note
PLCKERC G215.40-09.02,215.405167,-9.020627,95.919289,-6.282127,2,null,null,null,null,null,null,2353.124,null,null,null,null,null,null,283.931,PLCKERC545 G033.90-06.95,0
PLCKERC G215.44-16.38,215.441254,-16.386660,89.256493,-9.556726,4,null,null,null,null,null,1889.256,7131.371,null,null,null,null,null,220.986,780.018,PLCKERC857 G033.90-06.95,0
PLCKERC G215.46-08.09,215.465698,-8.099098,96.774971,-5.923131,1,835.699,null,null,null,null,null,null,71.602,null,null,null,null,null,null,null,0
PLCKERC G215.46+39.25,215.467972,39.259281,139.667007,14.955503,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G215.47+00.30,215.472717,0.301382,104.286995,-2.123563,4,null,null,null,null,null,1424.177,4628.792,null,null,null,null,null,165.287,541.627,null,0
PLCKERC G215.47-11.67,215.479202,-11.672695,93.559181,-7.526878,1,null,null,null,null,null,1052.832,null,null,null,null,null,null,177.025,null,null,0
PLCKERC G215.53+06.21,215.536102,6.210962,109.572052,0.523273,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G215.55-15.05,215.550201,-15.050410,90.522621,-9.071472,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G215.57+10.21,215.573425,10.215163,113.151390,2.321122,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC353 G033.96+28.25,0
PLCKERC G215.57-15.68,215.573730,-15.684313,89.954185,-9.367316,1,null,null,null,null,null,null,4397.106,null,null,null,null,null,null,847.686,PLCKERC545 G033.95+28.25,0
PLCKERC G215.58-15.73,215.584793,-15.734332,89.913185,-9.398604,1,null,null,null,null,null,1180.735,null,null,null,null,null,null,212.243,null,PLCKERC857 G033.94+28.24,0
PLCKERC G215.58-37.86,215.589645,-37.867714,68.973763,-18.208736,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G215.59+10.59,215.592758,10.598534,113.501503,2.479146,4,null,null,null,null,null,485.339,1683.628,null,null,null,null,null,75.943,183.347,null,0
PLCKERC G215.63-26.16,215.634048,-26.162468,80.263840,-13.810413,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G215.69-22.62,215.698044,-22.628880,83.600349,-12.420707,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.57-07.98,244.571503,-7.986643,110.507935,-31.714828,3,null,null,null,null,null,591.392,1784.185,null,null,null,null,null,64.696,88.421,null,0
PLCKERC G244.57+23.64,244.579651,23.646431,139.316681,-14.174348,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.58+00.88,244.589874,0.881607,119.413994,-27.389463,2,null,null,null,null,null,1080.498,3349.482,null,null,null,null,null,158.702,573.759,null,0
PLCKERC G244.62+80.98,244.624939,80.988243,184.585678,22.155167,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.62+80.65,244.627686,80.654762,184.291962,21.962547,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.66-07.37,244.662354,-7.374580,111.195465,-31.515015,1,null,null,null,null,null,null,1141.940,null,null,null,null,null,null,213.064,PLCKERC353 G038.14-32.44,0
PLCKERC G244.72-26.61,244.726089,-26.619953,89.247185,-38.573296,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC545 G038.14-32.45,0
PLCKERC G244.76+54.92,244.766541,54.920200,163.460144,5.932666,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC857 G038.15-32.44,0
PLCKERC G244.77-54.06,244.772079,-54.065376,53.568348,-40.146500,8,2345.345,2356.319,1887.988,1718.297,1409.983,1057.770,881.885,60.950,107.407,129.583,64.714,37.955,44.565,59.044,null,0
PLCKERC G244.79-00.34,244.792740,-0.349398,118.342339,-28.200533,4,null,null,null,null,null,1472.524,5369.890,null,null,null,null,null,151.613,609.507,null,0
PLCKERC G244.79+69.68,244.793350,69.682640,175.053589,15.336770,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.92+23.85,244.925476,23.858282,139.691483,-14.288775,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.94+45.31,244.948334,45.316551,156.257767,-0.434637,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G244.96-80.43,244.964783,-80.439484,22.403330,-31.874046,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.01+04.94,245.012482,4.945518,123.501495,-25.569986,3,null,null,null,null,null,null,847.136,null,null,null,null,null,null,86.828,null,0
PLCKERC G245.06+04.06,245.062622,4.067581,122.714859,-26.091480,1,null,null,null,null,null,null,1394.055,null,null,null,null,null,null,202.161,PLCKERC545 G038.16-33.36,0
PLCKERC G245.06+26.23,245.063721,26.231806,141.667679,-12.888861,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.06-13.71,245.069199,-13.712678,104.577347,-34.612747,2,null,null,null,null,null,null,1013.641,null,null,null,null,null,null,125.248,null,0
PLCKERC G245.08-54.69,245.086716,-54.690189,52.723240,-40.231251,1,null,null,null,null,null,200.679,null,null,null,null,null,null,37.121,null,null,0
PLCKERC G245.09-00.92,245.094650,-0.920596,117.960548,-28.752607,4,null,null,null,null,null,1184.252,3934.860,null,null,null,null,null,123.777,472.738,null,0
PLCKERC G245.17+45.47,245.179871,45.477520,156.485962,-0.451382,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.22-68.28,245.225235,-68.284218,35.863838,-36.837788,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.30+72.49,245.308624,72.496048,177.459824,16.949583,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.34-23.74,245.341324,-23.743748,92.975731,-38.332745,2,null,null,null,null,null,null,588.407,null,null,null,null,null,null,76.455,null,0
PLCKERC G245.36+10.05,245.361023,10.057193,128.347031,-22.973074,3,null,null,null,null,null,null,1149.899,null,null,null,null,null,null,84.207,null,0
PLCKERC G245.36-20.14,245.365341,-20.143253,97.317162,-37.239544,1,null,null,809.736,null,null,null,null,null,null,140.229,null,null,null,null,PLCKERC857 G038.16+31.23,0
PLCKERC G245.37-16.66,245.371094,-16.662579,101.380898,-36.021858,1,null,null,null,null,null,null,854.685,null,null,null,null,null,null,138.711,null,0
PLCKERC G245.42+46.25,245.427628,46.258942,157.187119,-0.065690,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G245.47+10.94,245.477402,10.944072,129.202118,-22.551233,4,1399.181,null,799.871,482.346,393.147,null,null,72.046,null,118.565,78.316,57.962,null,null,null,0
PLCKERC G245.50+53.31,245.502243,53.315216,162.524536,4.556502,2,null,null,null,530.170,362.117,null,null,null,null,null,65.109,37.023,null,null,null,0
